ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
408906,Sedita Lina Oblátky s arašidovou krémovou náplňou 50 g,sedita lina oblatky s arasidovou kremovou naplnou 50 g,0.75,0,GRAMS,50.0,34,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408907,Sedita Lina Mandľová 50 g,sedita lina mandlova 50 g,0.75,0,GRAMS,50.0,19,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408908,Milesky lieskovoorieškové rezy v kakaovej poleve COOP 300 g,milesky lieskovoorieskove rezy v kakaovej poleve coop 300 g,2.69,0,GRAMS,300.0,18,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408909,MANNER Oplátky s citronovou nápl. 75g,manner oplatky s citronovou napl. 75g,1.29,0,GRAMS,75.0,11,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408910,Manner Chrumkavé oplátky plnené citrónovou náplňou 400 g,manner chrumkave oplatky plnene citronovou naplnou 400 g,3.99,0,GRAMS,400.0,3,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408911,Manner Tortičky. chrumkavé oplátky s kakaovo-lieskovcovou náplňou 400 g,manner torticky. chrumkave oplatky s kakaovo-lieskovcovou naplnou 400 g,4.79,0,GRAMS,400.0,6,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408912,Brandt Hobbits Sušienky s ovsenými vločkami 250 g,brandt hobbits susienky s ovsenymi vlockami 250 g,1.99,0,GRAMS,250.0,32,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408913,Chipicao Sušienky s kakaovou náplňou 50 g,chipicao susienky s kakaovou naplnou 50 g,0.85,0,GRAMS,50.0,7,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408914,COOP Jednota Arašidka 40g,coop jednota arasidka 40g,0.45,0,GRAMS,40.0,96,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408915,COOP Jednota perník jahodový 50g,coop jednota pernik jahodovy 50g,0.49,0,GRAMS,50.0,103,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408916,COOP Jednota rožteky celozrnné 250g,coop jednota rozteky celozrnne 250g,1.65,0,GRAMS,250.0,29,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408917,COOP Jednota venčeky kakaové sušienky obaľované 100g,coop jednota venceky kakaove susienky obalovane 100g,0.65,0,GRAMS,100.0,62,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408918,Diabeta Kakaové venčeky 100 g,diabeta kakaove venceky 100 g,1.09,0,GRAMS,100.0,16,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
408919,Diabeta Žĺtkové venčeky 100 g,diabeta zltkove venceky 100 g,1.09,0,GRAMS,100.0,13,NEURČENÁ,66,3,2024-05-02 19:01:15,2024-05-02 19:01:29
